date,pillar,newsapi_article_count,newsapi_share,nyt_share,wiki_share,wiki_views,newsapi_available,nyt_available,wiki_available,available_source_count,available_weight,newsapi_weight_used,nyt_weight_used,wiki_weight_used,newsapi_share_filled,nyt_share_filled,wiki_share_filled,composite_share_raw,composite_share,popularity_score
2024-12-23,Entertainment & Pop Culture,0,,,0.6369905529414159,2096520,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.6369905529414159,0.6369905529414159,0.4103252927191172,41.03252927191172
2024-12-23,Lifestyle & Wellness,0,,,0.0763791936836904,251386,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0763791936836904,0.0763791936836904,0.049200596243054145,4.920059624305415
2024-12-23,Politics & Civic Life,0,,0.9,0.0833642989114599,274376,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.9,0.0833642989114599,0.5937616120917975,0.38247883922597026,38.247883922597026
2024-12-23,Science & Technology,0,,,0.0789146744634093,259731,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0789146744634093,0.0789146744634093,0.0508338573460921,5.083385734609211
2024-12-23,Sports & Athletics,0,,,0.0915616951291728,301356,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0915616951291728,0.0915616951291728,0.058980591128471135,5.898059112847114
2024-12-24,Business & Finance,0,,,0.0254805429007679,81838,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0254805429007679,0.0254805429007679,0.020194044738255548,2.019404473825555
2024-12-24,Entertainment & Pop Culture,0,,0.1,0.6125278038622771,1967307,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.1,0.6125278038622771,0.29219792644835385,0.23157505011189286,23.157505011189286
2024-12-24,Lifestyle & Wellness,0,,,0.1996479215289695,641226,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.1996479215289695,0.1996479215289695,0.15822657605675433,15.822657605675433
2024-12-24,Politics & Civic Life,0,,0.8,0.0286161834046125,91909,False,True,True,2,0.4,0.0,0.625,0.37499999999999994,0.0,0.8,0.0286161834046125,0.5107310687767297,0.4047686932048661,40.47686932048661
2024-12-24,Science & Technology,0,,,0.1337275483033728,429504,False,False,True,1,0.15,0.0,0.0,1.0,0.0,0.0,0.1337275483033728,0.1337275483033728,0.10598283182946451,10.598283182946451
2024-12-24,Sports & Athletics,0,,0.1,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.07925280405876661,7.925280405876661
2024-12-25,Business & Finance,0,,0.1,,0,False,True,False,1,0.25,0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.09154911349019015,9.154911349019015
